url,source,crawl_date,company_name,company_position,job_detail_detail_position,company_size,job_detail_name,job_detail_salary,job_detail_part_time,job_detail_full_time,job_detail_job_requirements_line,job_detail_year_of_exp,job_detail_job_level,job_detail_hybrid,job_detail_year_exp_from_requirement,job_detail_year_exp_from_requirement_and_year_exp,job_detail_salary_range,job_detail_currency,new_col,job_detail_salary_range_max,job_detail_salary_range_min,job_detail_extracted_skill,job_detail_extracted_job_role
https://www.topcv.vn/viec-lam/senior-business-analyst-co-kinh-nghiem-banking-finance/1288303.html?ta_source=ITJobs_LinkDetail,TopCv,2024-04-14 15:02:30,,['Hà Nội'],"- Hà Nội: 275 Nguyễn Trãi, Thanh Xuân, Hà Nội, Thanh Xuân",,Senior Business Analyst (Có Kinh Nghiệm Banking - Finance),20 - 40 triệu,False,False,"['Yêu cầu ứng viên', 'Học vấn: Tốt nghiệp Đại học ngành CNTT, Hệ thống thông tin hoặc các chuyên ngành có liên quan', 'Có tối thiểu 03 năm kinh nghiệm về BA tại các Ngân hàng/Công ty tài chính, đặc biệt có kinh nghiệm tham gia triển khai dự án sản phẩm lending cho Ngân hàng/Công ty tài chính (Điều kiện bắt buộc). Ưu tiên có kinh nghiệm tham gia các dự án về Tổng đài (POL), Vay (LOS)...', 'Am hiểu về lĩnh vực tài chính/ngân hàng, am hiểu về lĩnh vực ngành/nghề đang cung cấp', 'Đề cao trách nhiệm trong công việc, ý thức chất lượng sản phẩm tốt; đam mê tìm tòi nghiên cứu học hỏi công nghệ mới, phát triển bản thân', 'Ưu tiên ứng viên có thể đọc hiểu tài liệu tiếng Anh', 'Hiểu biết và mong muốn làm việc trong một môi trường phát triển Agile, chuyên nghiệp']",3,senior,False,3.0,3.0,"[20000000.0, 40000000.0]",,2,40000000.0,20000000.0,['ba'],business analyst
https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-truyen-hinh-cap-khong-yeu-cau-kinh-nghiem-tp-thu-duc/1283964.html?ta_source=ITJobs_LinkDetail,TopCv,2024-04-14 15:02:35,,['Hồ Chí Minh'],- Hồ Chí Minh: Thủ Đức,,Nhân Viên Kỹ Thuật Truyền Hình Cáp - Không Yêu Cầu Kinh Nghiệm ( TP. Thủ Đức),7 - 10 triệu,False,False,"['Yêu cầu ứng viên', '- Chiều cao : 1m60 trở lên', '- Yêu cầu giới tính : Nam', '- Độ tuổi : 25 - 35', '- Tốt nghiệp từ trung cấp trở lên', '- Ngành nghề : Bưu chính viễn thông, Công nghệ thông tin, Điện/Điện tử/Điện lạnh, Điện tử viễn thông', 'CHÚ Ý: Chỉ tuyển khoa- CNTT, Điện tử viễn thông, bưu chính viễn thông (không tuyển nghành khác)']",0,,False,,0.0,"[7000000.0, 10000000.0]",,2,10000000.0,7000000.0,[],kỹ thuật truyền hình cáp
https://www.topcv.vn/viec-lam/it-comtor-tieng-nhat-thu-nhap-len-den-35trieu-thang/1283457.html?ta_source=ITJobs_LinkDetail,TopCv,2024-04-14 15:02:41,,['Hà Nội'],"- Hà Nội: Toà nhà Tây Hà, 19 Tố Hữu, Trung Văn, Nam Từ Liêm, Hà Nội, Nam Từ Liêm",,IT Comtor Tiếng Nhật Thu Nhập Lên Đến 35Triệu/Tháng,15 - 35 triệu,False,False,"['Yêu cầu ứng viên', 'Tiếng Nhật N2 giao tiếp tốt', '- Có tiếng Nhật IT là 1 lợi thế', 'Có ít nhất từ 1 năm kinh nghiệm làm IT Comtor', '- Ưu tiên ứng viên có nền tảng về IT', 'Khả năng phân tích yêu cầu và nhận biết vấn đề nhanh', 'Khả năng giao tiếp tốt', 'Có ý thức trách nhiệm cao, có tinh thần làm việc teamwork', 'Có kinh nghiệm quản lý dự án hoặc hỗ trợ quản lý dự án', 'Khả năng chịu được áp lực cao trong công việc.', 'Có kiến thức IT mức độ cơ bản (hiểu hệ thống, phần mềm, phát triển app...)', 'Ưu tiên kinh nghiệm tham gia và follow dự án từ lúc start đến khi kết thúc (chuyển giao)', 'Nếu có là lợi thế:', 'Kỹ năng quản lý tốt.', 'Ứng viên có kinh nghiệm học tập, làm việc tại Nhật Bản.']",1,,False,1.0,1.0,"[15000000.0, 35000000.0]",,2,35000000.0,15000000.0,[],it comtor tiếng nhật
https://www.topcv.vn/viec-lam/ux-designer-upto-30m/1280602.html?ta_source=ITJobs_LinkDetail,TopCv,2024-04-14 15:02:47,,['Hà Nội'],"- Hà Nội: Khu đô thị Mễ Trì Hạ, Mễ Trì, Nam Từ Liêm, Hà Nội, Nam Từ Liêm",,UX Designer (Upto 30M),Tới 30 triệu,False,False,"['Yêu cầu ứng viên', '● Có kinh nghiệm làm việc trong lĩnh vực thiết kế giao diện người dùng và trải nghiệm người dùng.', '● Sử dụng thành thạo các công cụ thiết kế như Figma. Đã sử dụng Sketch, Adobe XD, Figma, hoặc Illustrator là lợi thế.', '● Hiểu biết về nguyên tắc thiết kế tương tác và đáp ứng.', '● Hiểu biết về Material Design là lợi thế.', '● Khả năng làm việc hiệu quả trong môi trường đa chức năng và làm việc nhóm.', '● Có kiến thức về quy trình phát triển phần mềm (Agile, Scrum) là lợi thế.', '● Có kỹ năng giao tiếp hiệu quả, làm việc nhóm.', '● Có khả năng đóng góp, xây dựng sản phẩm.']",0,,False,,0.0,[30000000.0],,1,30000000.0,0.0,"['adobe xd', 'sketch', 'figma', 'material design']",ux designer
https://www.topcv.vn/viec-lam/back-office-manager-truong-phong-hanh-chinh-nhan-su-tai-ho-chi-minh/1287603.html?ta_source=ITJobs_LinkDetail,TopCv,2024-04-14 15:03:04,,['Hồ Chí Minh'],"- Hồ Chí Minh: Villa A4-2 Khu dân cư EverRich 3, Đường Phú Thuận, Phường Tân Phú, Quận 7",,Back Office Manager (Trưởng Phòng Hành Chính Nhân Sự) Tại Hồ Chí Minh,Thoả thuận,False,False,"['Yêu cầu ứng viên', ""- Bachelor's degree in Business Administration, Accounting, Finance, or a related field."", '- 3+ years of progressive experience in operations management, with demonstrable experience in finance and HR.', '- Literacy in basic finance documents', '- Strong analytical, problem-solving, and decision-making abilities.', '- Excellent communication and interpersonal skills, with the ability to build positive relationships across teams.', '- Demonstrated ability to lead and motivate teams.', '- Experience in the technology industry', '- Familiarity with AI concepts and applications']",3,,False,3.0,3.0,[],,0,0.0,0.0,['basic'],back office manager
https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-tai-ha-noi-khong-yeu-cau-kinh-nghiem-thu-nhap-len-den-10-trieu/1245464.html?ta_source=ITJobs_LinkDetail,TopCv,2024-04-14 15:03:10,,['Hà Nội'],"- Hà Nội: A01 L63 An Vượng, P. Dương Nội, Hà Đông",,Nhân Viên Kỹ Thuật Tại Hà Nội Không Yêu Cầu Kinh Nghiệm Thu Nhập Lên Đến 10 Triệu,7 - 10 triệu,False,False,"['Yêu cầu ứng viên', '- Nam', '- Tốt nghiệp cao đẳng, đại học chuyên ngành điện/cơ khí', '- Biết vẽ và đọc bản vẽ Autocad (Có thể học trong quá trình thử việc)', '- Biết tiếng Anh là 1 lợi thế.', '- Không yêu cầu kinh nghiệm, sẽ được đào tạo.']",0,,False,,0.0,"[7000000.0, 10000000.0]",,2,10000000.0,7000000.0,['autocad'],kỹ thuật
https://www.topcv.vn/viec-lam/technical-leader/1301939.html?ta_source=ITJobs_LinkDetail,TopCv,2024-04-14 15:03:21,,['Hồ Chí Minh'],"- Hồ Chí Minh: Số 77 Bàu Cát 6, phường 14, Tân Bình",,Technical Leader,30 - 40 triệu,False,False,"['Yêu cầu ứng viên', 'Tốt nghiệp đại học trở lên ngành Khoa học máy tính, công nghệ thông tin hoặc các ngành nghề liên quan...', 'Có ít nhất 3 năm kinh nghiệm tại vị trí tương đương', 'Có kiến thức chuyên sâu về một trong các trong những công nghệ: NodeJS, ReactJS, hoặc VueJS...', 'Nắm vững các kiến thức về hệ quản trị dữ liệu SQL như: MySQL, PostgreSQL, MariaDB, hoặc Oracle và NoSQL như: Mongodb, Redis, Memcached ...']",3,,False,3.0,3.0,"[30000000.0, 40000000.0]",,2,40000000.0,30000000.0,"['reactjs', 'nodejs', 'memcached', 'mysql', 'nosql', 'mariadb', 'sql', 'redis', 'oracle', 'mongodb', 'postgresql']",technical leader
https://www.topcv.vn/viec-lam/software-developer-net-c-java-python/1299996.html?ta_source=ITJobs_LinkDetail,TopCv,2024-04-14 15:03:35,,['Hà Nội'],"- Hà Nội: đường Phát triển, cụm CN thị trấn Phùng, thị trấn Phùng, Đan Phượng",,"Software Developer (NET/C#, Java , Python)",15 - 30 triệu,False,False,"['Yêu cầu ứng viên', '- Tốt nghiệp từ đại học chuyên ngành công nghệ thông tin, phần mềm....', '- Sử dụng một số ngôn ngữ lập trình:.NET/C#, Java, Python, Web Service', '- Có kiến thức về SQL', '- Lập trình với hệ CSDL: MSSQL, MySQL, Postgres, Oracle', '- Thành thạo HTML, CSS, Bootstrap, Javascript, Jquery', '- Kinh nghiệm sử dụng GIT như GitHub/GitLab, Docker container', '- Có khả năng phân tích, tổng hợp dữ liệu ở các nguồn dữ liệu khác nhau..', '- Kỹ năng làm việc độc lập, làm việc nhóm tốt.', '- Hoạt bát, siêng năng, trung thực, chịu áp lực công việc.', '- Ưu tiên có kinh nghiệm triển khai các giải pháp phần mềm quản trị doanh nghiệp đặc biệt các doanh nghiệp liên quan tới sản xuất, gia công ,xây dựng các phần mềm, thiết kế database, big data.', 'THÔNG TIN KHÁC', 'Bằng cấp: Đại học', 'Giới tính: Nam', 'Độ tuổi: Không giới hạn tuổi']",1,,False,,1.0,"[15000000.0, 30000000.0]",,2,30000000.0,15000000.0,"['java', 'python', 'sql', 'oracle', 'mysql', 'mssql', 'javascript', 'css', 'jquery', 'bootstrap', 'html', 'docker', 'git']",software developer
https://www.topcv.vn/viec-lam/chuyen-vien-digital-marketing-executive-di-lam-ngay/1280870.html?ta_source=ITJobs_LinkDetail,TopCv,2024-04-14 15:03:48,,['Hà Nội'],"- Hà Nội: Vạn Phúc, Hà Đông",,Chuyên Viên Digital Marketing Executive - Đi Làm Ngay,Trên 10 triệu,False,False,"['Yêu cầu ứng viên', '- Tốt nghiệp Đại học chuyên ngành marketing hoặc liên quan. Ưu tiên ứng viên nam.', '- Kinh nghiệm từ 2 năm ở vị trí Digital Marketing là một lợi thế.', '- Am hiểu về các công cụ Digital Marketing và sử dụng thành thạo, edit video để chạy quảng cáo/ thiết kế hình ảnh cơ bản', '- Có khả năng xây dựng chiến lược marketing và làm việc theo chỉ tiêu kế hoạch, tinh thần trách nhiệm cao, đúng tiến độ.', '- Kỹ năng viết và giao tiếp tốt.', '- Thái độ tích cực và suy nghĩ lạc quan trong công việc.', '- Ưu tiên ứng viên có khả năng quay dựng chụp hình và thiết kế cơ bản.']",2,,False,,2.0,[10000000.0],,1,10000000.0,0.0,"['digital marketing', 'digital marketing']",digital marketing executive
https://www.topcv.vn/viec-lam/backend/1244014.html?ta_source=ITJobs_LinkDetail,TopCv,2024-04-14 15:04:01,,['Hồ Chí Minh'],- Hồ Chí Minh: Quận 3,,Backend,Thoả thuận,False,False,"['Yêu cầu ứng viên', '- Có kinh nghiệm làm việc với PHP, NODEJS và thông thạo các Framework như Laravel, NestJS', '- Nắm vững cấu trúc dữ liệu và giải thuật cơ bản', '- Nắm vững HTML, CSS, JS', '- Nắm vững kiến thức OOP', '- Hiểu biết về RESTfull APIs, Websocket', '- Có kinh nghiệm làm việc với các DB: MySQL, MongoDB,...', '- Có tinh thần trách nhiệm', '- Kỹ năng quản lý công việc, làm việc nhóm']",1,,False,,1.0,[],,0,0.0,0.0,"['php', 'nestjs', 'nodejs', 'laravel', 'css', 'js', 'html', 'oop', 'websocket', 'mysql', 'mongodb']",backend
